Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
두부말이찜, 250.6, 1.64, 5.51, 19.4, 90.5
미나리명태찜, 119.4, 19.9, 1.03, 0.03, 137.3
불고기덮밥, 332.5, 12.6, 5.4, 58.3, 192.5
바비큐리조또, 301, 10.5, 11.2, 39.4, 269.9
간편콩국수, 229.9, 12.3, 8.4, 26.2, 183.4
모듬해물찜, 156.3, 21, 2.7, 12, 1010.5
크렌베리귀리밥, 494.2, 9.6, 4.3, 104.3, 22.4
블루베리냉스프, 115.7, 2.2, 2.7, 20.6, 32.8
토마토제철나물 샐러드, 80, 0.5, 4.3, 9, 72.3
브로콜리스프, 134.5, 3, 9.8, 8.7, 112.9
초계샐러드, 116.8, 14.2, 4.5, 5, 63.9
토마토맑은장국, 25.4, 1.8, 0.7, 3, 174.1
매생이찰범벅, 122.3, 3.7, 1.4, 23.7, 64.3
통삼겹맥적구이, 397.2, 14.8, 35.7, 4.1, 120.6
닭가슴살샌드스테이크, 187.9, 22.6, 8.7, 4.8, 54.1
치즈리조또, 370.8, 9, 11.8, 57.1, 166.1
가지말이샐러드, 89, 2.9, 4.6, 9.1, 58
유자등갈비구이, 433.3, 15.4, 22.4, 42.6, 167.6
실곤약팟타야, 147.2, 13.1, 5.4, 11.6, 212.4
닭고기라이스롤, 272.9, 33, 6.5, 20.6, 439.1
깐풍파스타, 686.1, 28.3, 32.7, 69.8, 206.4
닭강정, 573.1, 29.1, 40.8, 22.4, 377.9
소고기꼬치구이, 412.3, 33.2, 20.3, 24.3, 284.3
황태볶음면, 601.6, 16.8, 29.4, 67.4, 473.5
토마토덮밥, 379.3, 15.6, 3.6, 71.1, 181.2
표고크림파스타, 332.5, 10.8, 7.8, 54.6, 107
떡갈비통치미국수, 242.1, 10.3, 2, 45.8, 448.3
백김치닭살샐러드, 113.1, 18.9, 0.9, 7.4, 232.1
단호박크림파스타, 236.6, 8.8, 4.2, 40.9, 205.1
견과편수, 416.3, 38.9, 6.8, 49.8, 104.5
바지락실곤약파스타, 53.5, 3.3, 0.5, 8.9, 165.8
황태리조또, 292.3, 29.1, 17.1, 5.4, 504.9
깻잎애호박찜, 38.5, 2, 0.6, 6.2, 329.2
녹차와 대추밀전병, 220.9, 9.9, 6.8, 30.1, 33.8
단호박 된장매쉬와 해물굴림만두, 96.7, 11.3, 1.2, 10.2, 414.6
닭순대, 298.3, 51.9, 2.5, 17, 256.7
도라지 유자청생채, 133.3, 2.5, 0.1, 30.6, 217.8
돼지고기 숙주덮밥, 182.1, 16.5, 5.3, 17.2, 206.1
두부스테이크, 308.8, 19, 22, 8.7, 60.7
들깨곤약수제비, 137.7, 6.1, 9.3, 7.5, 51.4
먹물소스를 곁들인 토마토피클, 140.9, 1.6, 0.2, 33.2, 73.2
묵은지고등어와 새우말이꼬치, 403, 41.5, 16.4, 22.3, 1199.1
버섯배추말이, 95.4, 5.4, 0.5, 17.3, 500
봄날의 연못, 191.1, 20.3, 0.4, 26.5, 318.5
산나물 유부초밥, 304, 10.4, 6.1, 51.8, 72.8
삼삼한 롤, 323.6, 33.7, 16.7, 9.7, 189.8
삼색채소 냉파스타, 323.2, 13.6, 7.2, 51.1, 50.9
새우보리죽 고등어스테이크, 541.5, 25.3, 9.6, 88.4, 140.7
